Step,Action,Observation,Reward,Completed,Score
1,look around,"This room is called the hallway. In it, you see: 
	the agent
	a substance called air
	a picture
You also see:
	A door to the art studio (that is closed)
	A door to the bedroom (that is closed)
	A door to the greenhouse (that is closed)
	A door to the kitchen (that is closed)
	A door to the living room (that is closed)
	A door to the workshop (that is closed)",0,False,0
2,open door to the greenhouse,The door is now open.,8,False,8
3,go greenhouse,You move to the greenhouse.,9,False,17
4,look around,"This room is called the greenhouse. In it, you see: 
	the agent
	a substance called air
	a bee hive. The bee hive door is closed. 
	a flower pot 2 (containing nothing)
	a flower pot 5 (containing a pea plant in the adult stage with a tall height, soil)
	a flower pot 6 (containing a cherry tree in the adult stage, soil)
	a flower pot 8 (containing a apple tree in the adult stage, soil)
	a flower pot 9 (containing nothing)
	a jug (containing nothing)
	a shovel
	a sink, which is turned off. In the sink is: nothing.
You also see:
	A door to the hallway (that is open)
	A door to the outside (that is closed)",0,False,17
5,focus on pea plant,You focus on the pea plant.,50,False,67
6,move pea plant to kitchen,No known action matches that input.,0,False,67
7,pick up pea plant,You move the pea plant to the inventory.,8,False,75
8,go kitchen,No known action matches that input.,0,False,75
9,go hallway,You move to the hallway.,0,False,75
10,open door to the kitchen,The door is now open.,0,False,75
11,go kitchen,You move to the kitchen.,8,False,83
12,put down pea plant,You move the pea plant to the kitchen.,0,False,83
13,task,"Task description:
Your task is to find a(n) living thing. First, focus on the thing. Then, move it to the red box in the kitchen.",0,False,83
14,look around,"This room is called the kitchen. In it, you see: 
	the agent
	a substance called air
	a chair. On the chair is: nothing.
	a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.
	a cupboard. The cupboard door is closed. 
	a freezer. The freezer door is closed. 
	a fridge. The fridge door is closed. 
	a glass jar (containing a substance called sodium chloride)
	a lighter
	a oven, which is turned off. The oven door is closed. 
	a painting
	a pea plant in the dead stage (that looks unwell)
	a red box (containing nothing)
	a sink, which is turned off. In the sink is: nothing.
	a substance called soap
	a stopwatch, which is deactivated. 
	a stove, which is turned off. On the stove is: nothing.
	a table. On the table is: a glass cup (containing nothing).
	a thermometer, currently reading a temperature of 10 degrees celsius
You also see:
	A door to the bathroom (that is closed)
	A door to the hallway (that is open)
	A door to the outside (that is closed)",0,False,83
15,move pea plant to red box,You move the pea plant to the red box.,17,True,100
